iter	Passed	Remaining
0	40	40900
1	79	39904
2	120	40004
3	159	39778
4	199	39772
5	238	39468
6	276	39218
7	316	39205
8	353	38908
9	391	38745
10	427	38478
11	466	38385
12	505	38343
13	542	38194
14	578	37982
15	615	37823
16	656	37985
17	696	37972
18	732	37795
19	768	37637
20	808	37675
21	843	37503
22	882	37498
23	918	37348
24	954	37238
25	994	37245
26	1033	37234
27	1068	37074
28	1103	36962
29	1142	36935
30	1178	36842
31	1214	36728
32	1252	36716
33	1292	36708
34	1331	36707
35	1366	36599
36	1408	36662
37	1443	36530
38	1485	36604
39	1521	36506
40	1557	36435
41	1602	36542
42	1637	36437
43	1689	36698
44	1727	36657
45	1782	36970
46	1818	36876
47	1858	36861
48	1896	36808
49	1933	36743
50	1970	36664
51	2016	36768
52	2054	36703
53	2102	36833
54	2141	36802
55	2176	36696
56	2214	36629
57	2256	36647
58	2297	36649
59	2339	36646
60	2388	36768
61	2437	36880
62	2475	36819
63	2513	36764
64	2554	36744
65	2609	36932
66	2652	36938
67	2694	36937
68	2742	37008
69	2786	37026
70	2829	37018
71	2880	37124
72	2942	37362
73	3013	37711
74	3072	37894
75	3141	38192
76	3203	38403
77	3257	38503
78	3298	38458
79	3351	38537
80	3406	38643
81	3457	38707
82	3509	38778
83	3573	38972
84	3644	39237
85	3709	39426
86	3776	39627
87	3839	39789
88	3902	39945
89	3979	40241
90	4025	40205
91	4075	40220
92	4114	40130
93	4161	40109
94	4201	40020
95	4248	40002
96	4324	40257
97	4382	40340
98	4445	40461
99	4501	40515
100	4548	40489
101	4597	40479
102	4661	40599
103	4733	40777
104	4777	40722
105	4831	40750
106	4879	40721
107	4949	40879
108	5006	40928
109	5052	40882
110	5118	40998
111	5166	40963
112	5216	40949
113	5275	40997
114	5332	41037
115	5381	41013
116	5428	40965
117	5490	41042
118	5565	41206
119	5611	41151
120	5656	41092
121	5718	41151
122	5780	41217
123	5838	41246
124	5880	41162
125	5926	41108
126	5971	41048
127	6011	40955
128	6075	41018
129	6123	40978
130	6183	41017
131	6239	41026
132	6305	41101
133	6360	41106
134	6421	41144
135	6473	41126
136	6538	41186
137	6592	41179
138	6635	41104
139	6699	41156
140	6745	41094
141	6789	41025
142	6835	40964
143	6877	40883
144	6935	40895
145	6984	40856
146	7030	40794
147	7086	40795
148	7143	40798
149	7192	40756
150	7266	40858
151	7308	40774
152	7344	40656
153	7401	40661
154	7460	40673
155	7507	40617
156	7557	40577
157	7616	40589
158	7689	40671
159	7740	40635
160	7788	40588
161	7857	40645
162	7899	40562
163	7939	40471
164	7979	40381
165	8013	40258
166	8051	40160
167	8089	40061
168	8127	39966
169	8164	39863
170	8201	39758
171	8235	39647
172	8283	39597
173	8328	39537
174	8368	39449
175	8407	39360
176	8443	39260
177	8490	39207
178	8535	39149
179	8573	39058
180	8606	38944
181	8641	38839
182	8677	38741
183	8718	38665
184	8754	38566
185	8787	38457
186	8827	38378
187	8868	38302
188	8899	38187
189	8942	38122
190	8976	38020
191	9012	37925
192	9046	37826
193	9084	37744
194	9122	37659
195	9162	37584
196	9198	37495
197	9233	37399
198	9265	37294
199	9302	37210
200	9338	37119
201	9379	37055
202	9416	36970
203	9453	36887
204	9495	36825
205	9536	36756
206	9570	36661
207	9603	36566
208	9640	36485
209	9671	36384
210	9704	36287
211	9733	36178
212	9763	36074
213	9804	36009
214	9841	35933
215	9877	35851
216	9907	35749
217	9947	35684
218	9981	35594
219	10011	35495
220	10051	35430
221	10089	35357
222	10119	35260
223	10151	35166
224	10191	35104
225	10228	35029
