iter	RMSE
0	0.8349462846
1	0.8104580749
2	0.7877601195
3	0.7665347064
4	0.747093717
5	0.7289084151
6	0.7121547514
7	0.6965217617
8	0.6821972601
9	0.6686859462
10	0.6561238895
11	0.6445954494
12	0.6339978615
13	0.6240595574
14	0.6149484706
15	0.6066687785
16	0.5989708444
17	0.5919298059
18	0.5853768047
19	0.5794447684
20	0.5739899549
21	0.5690097466
22	0.5643734151
23	0.5601381823
24	0.5563130992
25	0.5526828509
26	0.549331541
27	0.5462748636
28	0.5435116637
29	0.5409663587
30	0.5385766472
31	0.5364370625
32	0.5344784598
33	0.5326640124
34	0.5310490467
35	0.5294798286
36	0.5279596202
37	0.5266595723
38	0.5254578371
39	0.5243128378
40	0.5232421849
41	0.5222548848
42	0.5213619694
43	0.5204816898
44	0.5196683246
45	0.5189296264
46	0.5182380562
47	0.5175969825
48	0.5170555899
49	0.5164851246
50	0.5160087385
51	0.5155256476
52	0.5150683909
53	0.5146553928
54	0.5142374393
55	0.5138634951
56	0.5134773848
57	0.5131592585
58	0.5128220111
59	0.512529737
60	0.5122092278
61	0.5118769969
62	0.511620536
63	0.5113964135
64	0.5111510275
65	0.5109039963
66	0.5106828299
67	0.5104787431
68	0.5102627799
69	0.5100164336
70	0.5097677532
71	0.5095887826
72	0.5094031851
73	0.5092248337
74	0.5090324759
75	0.5088761509
76	0.508779275
77	0.508592272
78	0.5084407619
79	0.5082482582
80	0.5081204292
81	0.5079960359
82	0.5078716997
83	0.5077676549
84	0.5076528252
85	0.5075027642
86	0.5073519254
87	0.5072284514
88	0.5071277738
89	0.5069725049
90	0.5068832979
91	0.5067924341
92	0.5066920998
93	0.5065779116
94	0.5064782772
95	0.506373975
96	0.5063001812
97	0.5062279607
98	0.5061290961
99	0.5060157483
100	0.5058992685
101	0.5058265868
102	0.5057124097
103	0.5056366426
104	0.5055704749
105	0.505484298
106	0.505425114
107	0.5053217767
108	0.5052512706
109	0.5051219969
110	0.5050208349
111	0.5049225745
112	0.5048759635
113	0.5047963833
114	0.5047326964
115	0.5046534418
116	0.5045655891
117	0.504509626
118	0.5044032301
119	0.5043131392
120	0.5042113041
121	0.504167935
122	0.5041008136
123	0.5040552065
124	0.5040023373
125	0.5039194941
126	0.5038327626
127	0.5037943217
128	0.5036994958
129	0.5036216591
130	0.5035648904
131	0.5034993386
132	0.5034286849
133	0.5033312891
134	0.5032850706
135	0.5032515227
136	0.5031883728
137	0.5031071312
138	0.5030410495
139	0.5029788834
140	0.5029224639
141	0.5028698418
142	0.5028146261
143	0.5027429962
144	0.5027046767
145	0.502596991
146	0.5025478739
147	0.5024890022
148	0.5024207035
149	0.5023229852
150	0.5022647073
151	0.5022078468
152	0.50217566
153	0.5021359158
154	0.5020697078
155	0.5020166029
156	0.5019650984
157	0.5018993479
158	0.5018414911
159	0.5017872579
160	0.5017473787
161	0.5017016287
162	0.5016120713
163	0.5015210869
164	0.5014324415
165	0.5013770954
166	0.5013206492
167	0.5012725866
168	0.5012153339
169	0.5011861916
170	0.5011370845
171	0.5011043894
172	0.5010426238
173	0.5009807687
174	0.5009480701
175	0.5009196569
176	0.5008749017
177	0.500827547
178	0.5007831626
179	0.5007252499
180	0.500669949
181	0.5006332804
182	0.5005821589
183	0.5005403798
184	0.5005107925
185	0.5004100327
186	0.5003633065
187	0.5003286803
188	0.5003019031
189	0.5002446444
190	0.5001944066
191	0.5001522044
192	0.5001001902
193	0.5000761826
194	0.4999967947
195	0.4999714195
196	0.499947539
197	0.4998705857
198	0.4998150137
199	0.4997767411
200	0.4997310757
201	0.49969054
202	0.4996575463
203	0.4996184923
204	0.4995519532
205	0.4995138455
206	0.4994130818
207	0.4993712257
208	0.4993287648
209	0.4992722418
210	0.4992303191
211	0.4991919105
212	0.4991475455
213	0.4991193574
214	0.499082204
215	0.4990404644
216	0.498996037
217	0.498968222
218	0.4989415996
219	0.4988678046
220	0.4988328865
221	0.4987525356
222	0.4986921194
223	0.4986518602
224	0.4986219579
225	0.4985901655
226	0.4985585836
227	0.4985215251
228	0.4984856092
229	0.4984604827
230	0.4983619179
231	0.4983274208
232	0.498302447
233	0.4982605599
234	0.4982060332
235	0.4981633927
236	0.4981191011
237	0.498085507
238	0.4980467386
239	0.4979854596
240	0.4979405114
241	0.4979255685
242	0.4978838216
243	0.4978593036
244	0.4978222979
