iter	Passed	Remaining
0	184	184065
1	232	116005
2	285	94943
3	335	83608
4	389	77454
5	441	73098
6	491	69706
7	538	66758
8	584	64390
9	632	62576
10	681	61242
11	723	59528
12	764	58041
13	819	57722
14	870	57191
15	914	56212
16	952	55063
17	997	54402
18	1047	54078
19	1101	53975
20	1151	53658
21	1197	53224
22	1239	52653
23	1284	52236
24	1339	52224
25	1389	52064
26	1436	51753
27	1484	51536
28	1520	50926
29	1563	50563
30	1609	50297
31	1661	50254
32	1708	50058
33	1755	49879
34	1802	49699
35	1847	49467
36	1883	49029
37	1918	48569
38	1951	48098
39	1988	47733
40	2027	47422
41	2071	47242
42	2120	47198
43	2167	47094
44	2212	46964
45	2260	46872
46	2309	46835
47	2361	46832
48	2401	46618
49	2443	46424
50	2485	46247
51	2527	46076
52	2570	45935
53	2620	45910
54	2665	45798
55	2715	45778
56	2754	45570
57	2800	45488
58	2845	45378
59	2891	45294
60	2930	45107
61	2966	44875
62	3004	44690
63	3041	44488
64	3076	44258
65	3113	44053
66	3155	43948
67	3198	43832
68	3256	43939
69	3300	43850
70	3343	43751
71	3385	43630
72	3429	43550
73	3476	43505
74	3521	43430
75	3575	43470
76	3614	43323
77	3658	43241
78	3699	43127
79	3733	42934
80	3769	42766
81	3801	42557
82	3833	42348
83	3866	42167
84	3910	42093
85	3958	42069
86	4002	42004
87	4049	41964
88	4089	41856
89	4137	41830
90	4178	41740
91	4219	41647
92	4267	41618
93	4306	41508
94	4352	41460
95	4401	41451
96	4439	41332
97	4479	41232
98	4521	41152
99	4565	41090
100	4612	41057
101	4650	40942
102	4682	40782
103	4720	40669
104	4765	40616
105	4813	40600
106	4857	40536
107	4902	40490
108	4941	40394
109	4986	40343
110	5036	40336
111	5078	40262
112	5118	40179
113	5160	40106
114	5203	40045
115	5241	39942
116	5282	39867
117	5318	39756
118	5359	39674
119	5400	39604
120	5438	39506
121	5472	39383
122	5504	39246
123	5539	39133
124	5582	39075
125	5622	39003
126	5667	38959
127	5709	38892
128	5750	38829
129	5794	38776
130	5842	38754
131	5885	38701
132	5929	38652
133	5973	38607
134	6019	38567
135	6062	38514
136	6108	38481
137	6153	38438
138	6191	38349
139	6230	38273
140	6269	38193
141	6310	38132
142	6353	38078
143	6398	38038
144	6438	37962
145	6475	37878
146	6510	37777
147	6544	37674
148	6579	37575
149	6616	37495
150	6652	37403
151	6688	37316
152	6721	37211
153	6749	37078
154	6786	36997
155	6821	36908
156	6858	36826
157	6903	36788
158	6945	36736
159	6988	36687
160	7033	36652
161	7074	36594
162	7117	36546
163	7162	36511
164	7206	36470
165	7251	36431
166	7287	36351
167	7332	36315
168	7369	36235
169	7405	36158
170	7443	36085
171	7480	36010
172	7520	35952
173	7554	35864
174	7589	35778
175	7621	35682
176	7662	35627
177	7705	35583
178	7751	35551
179	7789	35484
180	7834	35451
181	7880	35419
182	7925	35383
183	7972	35356
184	8015	35309
185	8063	35289
186	8106	35242
187	8149	35200
188	8191	35148
189	8239	35124
190	8287	35102
191	8322	35023
192	8371	35004
193	8406	34927
194	8446	34869
195	8480	34785
196	8515	34711
197	8555	34653
198	8590	34577
199	8620	34482
200	8657	34416
201	8704	34385
202	8751	34359
203	8796	34325
204	8844	34298
205	8890	34268
206	8952	34296
207	8992	34239
208	9044	34230
209	9092	34206
210	9138	34171
211	9173	34098
212	9219	34063
213	9259	34009
214	9305	33976
215	9344	33917
216	9388	33876
217	9428	33822
218	9466	33758
219	9505	33702
220	9546	33650
221	9593	33621
222	9638	33584
223	9682	33541
224	9726	33501
225	9768	33453
226	9812	33412
227	9860	33387
228	9907	33357
229	9944	33293
230	9996	33279
231	10043	33248
232	10084	33195
233	10122	33137
234	10166	33095
235	10207	33044
236	10264	33045
237	10306	32996
238	10340	32923
239	10377	32862
240	10414	32800
241	10446	32719
242	10484	32661
243	10517	32587
244	10559	32540
245	10610	32521
246	10655	32485
247	10705	32460
248	10743	32403
249	10790	32371
250	10836	32336
251	10882	32302
252	10916	32230
253	10961	32192
254	11013	32175
255	11051	32119
256	11097	32083
257	11143	32049
258	11188	32011
259	11230	31964
260	11276	31929
261	11326	31903
262	11366	31853
263	11412	31817
264	11453	31768
265	11492	31712
266	11524	31637
267	11555	31562
268	11588	31492
269	11624	31428
270	11659	31363
271	11695	31301
272	11734	31248
273	11765	31174
274	11800	31109
275	11835	31046
276	11880	31008
277	11927	30977
278	11982	30966
279	12022	30913
280	12058	30853
281	12101	30812
282	12143	30765
283	12188	30729
284	12239	30705
285	12274	30642
286	12319	30606
287	12360	30558
288	12407	30524
289	12444	30468
290	12488	30427
291	12529	30379
292	12566	30322
293	12606	30273
294	12650	30232
295	12685	30170
296	12722	30113
297	12757	30051
298	12796	30000
299	12840	29961
300	12880	29911
301	12929	29883
302	12966	29827
303	13017	29803
304	13061	29764
305	13101	29714
306	13146	29675
307	13184	29622
308	13226	29577
309	13263	29520
310	13301	29467
311	13341	29419
312	13386	29381
313	13431	29344
314	13479	29313
315	13525	29275
316	13568	29233
317	13601	29171
318	13646	29132
319	13688	29087
320	13732	29047
321	13773	29001
322	13822	28971
323	13866	28931
324	13909	28889
325	13960	28863
326	14003	28820
327	14037	28759
328	14080	28717
329	14119	28667
330	14152	28605
331	14187	28545
332	14219	28481
333	14258	28431
334	14299	28385
335	14333	28325
336	14373	28277
337	14408	28219
338	14450	28175
339	14491	28129
340	14520	28062
341	14553	28000
342	14595	27956
343	14629	27897
344	14671	27854
345	14717	27818
346	14758	27774
347	14795	27719
348	14838	27678
349	14884	27643
350	14921	27590
351	14974	27566
352	15021	27531
353	15060	27482
354	15099	27434
355	15138	27384
356	15182	27344
357	15237	27324
358	15274	27272
359	15313	27224
360	15348	27168
361	15393	27129
362	15437	27090
363	15484	27056
364	15518	26997
365	15575	26980
366	15610	26925
367	15645	26869
368	15677	26809
369	15718	26764
370	15765	26729
371	15809	26689
372	15855	26653
373	15898	26611
374	15951	26585
375	15998	26550
376	16041	26508
377	16083	26465
378	16124	26420
379	16171	26385
380	16223	26357
381	16276	26331
382	16311	26277
383	16344	26218
384	16380	26166
385	16421	26121
386	16457	26068
387	16491	26012
388	16526	25957
389	16559	25900
390	16598	25852
391	16637	25804
392	16672	25751
393	16706	25695
394	16742	25643
395	16779	25593
396	16823	25553
397	16860	25501
398	16907	25466
399	16947	25420
400	16998	25391
401	17040	25348
402	17078	25300
